ssc_issue_key,title,factor,ssc_severity,feasibility_category,proposed_test_method,exact_observation_or_evidence,proposed_rule_logic,required_executor,required_external_data,authoritative_reference_type,authoritative_reference,implementation_complexity,confidence,notes,current_platform_support
hsts_incorrect_v2,Website Does Not Implement HSTS Best Practices,application_security,low,DIRECTLY_TESTABLE,Fetch HTTPS responses and parse Strict-Transport-Security according to RFC 6797 across approved canonical hosts.,"Header values, parse result, max-age, includeSubDomains, preload token, response scheme and host.","Finding when HSTS is absent on HTTPS, invalid/duplicated, max-age below internal minimum, or required includeSubDomains is absent; never honor HSTS received over HTTP.",HTTP,None,IETF RFC,https://www.rfc-editor.org/rfc/rfc6797.html,LOW,HIGH,"Current executor records only presence, not policy correctness.",PARTIAL
insecure_ftp,Non-standard links detected: Unsafe File Transfer Protocol,application_security,medium,DIRECTLY_TESTABLE,Crawl bounded approved same-origin HTML and parse navigable/resource URLs after standards-based URL resolution.,"Source page, element/attribute, resolved destination scheme and redacted destination host/path hash.",Finding when a rendered/static DOM URL uses the ftp: scheme in a context covered by internal policy; do not follow non-HTTP destinations.,HTTP_CRAWLER,None,IETF/WHATWG specification,https://www.rfc-editor.org/rfc/rfc9110.html; https://url.spec.whatwg.org/,MEDIUM,HIGH,Observation is deterministic for the declared crawl; it does not imply SSC crawl equivalence.,NOT_SUPPORTED
insecure_https_redirect_pattern_v2,Insecure HTTPS Redirect Pattern,application_security,low,DIRECTLY_TESTABLE,Issue bounded HEAD/GET requests and resolve Location fields per HTTP semantics while enforcing inventory scope.,"Every hop's URL scheme/host/port/status and Location scheme, plus stop reason.","Finding when HTTPS downgrades to HTTP, redirects oscillate schemes, or HTTP reaches content before upgrade, under the approved redirect policy.",HTTP,None,IETF RFC,https://www.rfc-editor.org/rfc/rfc9110.html,LOW,HIGH,No external redirects are fetched unless separately authorized.,PARTIAL
insecure_server_certificate_key_size,Certificate key is smaller than recommended size,application_security,low,DIRECTLY_TESTABLE,"Perform a TLS handshake, parse the leaf public key algorithm and size/curve, and compare with versioned internal cryptographic policy.","Port, certificate fingerprint, key algorithm, RSA/DSA bit length or EC curve, policy version and observation time.",Finding when the leaf key is below the policy minimum or uses a disallowed algorithm; unknown key types are indeterminate.,TLS,None,NIST guidance / IETF PKIX,https://csrc.nist.gov/pubs/sp/800/52/r2/final; https://www.rfc-editor.org/rfc/rfc5280.html,LOW,HIGH,The current TLS executor records public key bits but not the complete algorithm/curve evidence contract.,PARTIAL
insecure_telnet,Non-standard links detected: Unsafe Telnet protocol,application_security,info,DIRECTLY_TESTABLE,Crawl bounded approved same-origin HTML and parse navigable/resource URLs after standards-based URL resolution.,"Source page, element/attribute, resolved destination scheme and redacted destination host/path hash.",Finding when a rendered/static DOM URL uses the telnet: scheme in a context covered by internal policy; do not follow non-HTTP destinations.,HTTP_CRAWLER,None,IETF/WHATWG specification,https://www.rfc-editor.org/rfc/rfc9110.html; https://url.spec.whatwg.org/,MEDIUM,HIGH,Observation is deterministic for the declared crawl; it does not imply SSC crawl equivalence.,NOT_SUPPORTED
links_to_insecure_website,Site links to insecure websites,application_security,low,DIRECTLY_TESTABLE,Crawl bounded approved same-origin HTML and parse navigable/resource URLs after standards-based URL resolution.,"Source page, element/attribute, resolved destination scheme and redacted destination host/path hash.",Finding when a rendered/static DOM URL uses the http: scheme in a context covered by internal policy; do not follow non-HTTP destinations.,HTTP_CRAWLER,None,IETF/WHATWG specification,https://www.rfc-editor.org/rfc/rfc9110.html; https://url.spec.whatwg.org/,MEDIUM,HIGH,Observation is deterministic for the declared crawl; it does not imply SSC crawl equivalence.,NOT_SUPPORTED
local_file_path_exposed_via_url_scheme,Non-standard links detected: Local file path exposed,application_security,low,DIRECTLY_TESTABLE,Crawl bounded approved same-origin HTML and parse navigable/resource URLs after standards-based URL resolution.,"Source page, element/attribute, resolved destination scheme and redacted destination host/path hash.",Finding when a rendered/static DOM URL uses the file: scheme in a context covered by internal policy; do not follow non-HTTP destinations.,HTTP_CRAWLER,None,IETF/WHATWG specification,https://www.rfc-editor.org/rfc/rfc9110.html; https://url.spec.whatwg.org/,MEDIUM,HIGH,Observation is deterministic for the declared crawl; it does not imply SSC crawl equivalence.,NOT_SUPPORTED
openssl_critical_vulnerability,November 2022 OpenSSL 3.X vulnerability detected,application_security,high,TESTABLE_WITH_ENRICHMENT,"Identify OpenSSL product/version through authenticated inventory, SBOM/package evidence, or a high-confidence service fingerprint; map it to affected ranges for CVE-2022-3602 and CVE-2022-3786.","Product evidence source, exact version, CPE/package identifier, CVE record/advisory versions and match result.",Finding only when exact installed version is inside a vendor/NVD affected range; banner-only ambiguous versions are indeterminate; no exploit payload is sent.,FINGERPRINT+SBOM+CVE,NVD CVE records and vendor advisory,NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2022-3602; https://nvd.nist.gov/vuln/detail/CVE-2022-3786,HIGH,HIGH,Generic non-exploit version correlation only.,NOT_SUPPORTED
payment_provider,Website communicates with payment provider,application_security,high,TESTABLE_WITH_ENRICHMENT,Render approved pages and classify contacted origins/forms/scripts against a reviewed payment-provider domain and certificate catalog.,"Page, request/form destination origin, provider identifier, matching indicators and catalog version.",Positive observation when a destination matches an approved provider by validated domain plus TLS/SDK signature; do not capture payment data.,BROWSER+FINGERPRINT,Versioned payment-provider endpoint/SDK catalog,Vendor security documentation / PCI guidance,https://www.pcisecuritystandards.org/document_library/,HIGH,MEDIUM,"This is service-use inventory, not a vulnerability or score-impact assertion.",NOT_SUPPORTED
potentially_vulnerable,Potential vulnerability detected,application_security,info,NOT_REPRODUCIBLE,"Do not implement a detector without a public, testable definition.",No independent deterministic observation has been identified.,Exclude from rule catalog unless a future credible method and evidence contract are approved.,None,None,Undocumented SSC methodology,SSC taxonomy only; no public detection specification identified,HIGH,LOW,"The key/title do not identify a product, CVE, version range, observation, or falsifiable condition. Treating arbitrary exposure as this issue would guess SSC methodology.",NOT_SUPPORTED
potentially_vulnerable_cve_2023_33246,Potentially Vulnerable RocketMQ (CVE-2023-33246),application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2023-33246.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2023-33246; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
potentially_vulnerable_cve_2023_34362,MOVEit Service in Use (CVE-2023-34362),application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2023-34362.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2023-34362; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
potentially_vulnerable_cve_2023_3519,Potentially Vulnerable Citrix NetScaler Service Detected,application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2023-3519.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2023-3519; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
potentially_vulnerable_cve_2023_37582,Potentially Vulnerable RocketMQ (CVE-2023-37582),application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2023-37582.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2023-37582; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
potentially_vulnerable_cve_2023_37979,Potential Ninja Forms Vulnerability Detected,application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2023-37979.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2023-37979; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
potentially_vulnerable_cve_2023_38035,Potentially Vulnerable Ivanti Sentry Device Detected,application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2023-38035.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2023-38035; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
potentially_vulnerable_cve_2023_46747,Potentially vulnerable to BIG-IP Configuration utility vulnerability (CVE-2023-46747),application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2023-46747.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2023-46747; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
potentially_vulnerable_cve_2024_21887,Potentially Vulnerable Ivanti Connect Secure or Ivanti Policy Secure (CVE-2024-21887),application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2024-21887.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2024-21887; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
potentially_vulnerable_cve_2024_46805,Potentially Vulnerable Ivanti Connect Secure and Ivanti Policy Secure Gateways (CVE-2023-46805),application_security,info,TESTABLE_WITH_ENRICHMENT,"Identify the advertised product and exact version using safe fingerprinting and/or authenticated inventory, then correlate to the affected configurations for CVE-2023-46805.","Endpoint, fingerprint evidence, exact product/version/CPE, confidence, CVE record revision, vendor advisory revision and affected-range result.",Finding only for a high-confidence product/version match inside the authoritative affected range; unknown/hidden versions are indeterminate; do not validate by exploitation.,HTTP/TCP_FINGERPRINT+CVE,"NVD CVE record, CPE dictionary and vendor advisory",NVD / vendor advisory,https://nvd.nist.gov/vuln/detail/CVE-2023-46805; https://csrc.nist.gov/pubs/ir/7695/final,HIGH,HIGH,Generic version correlation; no exploit validation.,PARTIAL
product_exploited_by_ransomware_actors,Vulnerable VMWare ESXi Server Detected,application_security,high,TESTABLE_WITH_ENRICHMENT,"Identify VMware ESXi and exact version from authenticated inventory or high-confidence management-service fingerprint, then correlate to vendor/NVD advisories and CISA KEV ransomware-use metadata.","Product/version evidence, CPE, exposed service, CVE set, KEV dataset version and ransomware-use flag.",Finding when an affected ESXi version is exposed and mapped to a CVE with authoritative ransomware exploitation evidence; no exploit attempt.,FINGERPRINT+SBOM+CVE+KEV,"VMware advisories, NVD and CISA KEV",Vendor advisory / NVD / CISA,https://www.cisa.gov/known-exploited-vulnerabilities-catalog; https://nvd.nist.gov/,HIGH,MEDIUM,Do not infer ransomware susceptibility from product name alone.,PARTIAL
redirect_chain_contains_http_v2,Redirect Chain Contains HTTP,application_security,medium,DIRECTLY_TESTABLE,Issue bounded HEAD/GET requests and resolve Location fields per HTTP semantics while enforcing inventory scope.,"Every hop's URL scheme/host/port/status and Location scheme, plus stop reason.","Finding when any hop after an HTTPS request, or any Location emitted by an HTTPS hop, resolves to http:.",HTTP,None,IETF RFC,https://www.rfc-editor.org/rfc/rfc9110.html,LOW,HIGH,"The executor records sufficient redirect evidence, but no active rule is linked to this SSC_API issue; support remains partial until the specific condition is evaluated.",PARTIAL
redirect_to_insecure_website,Link redirects to insecure website,application_security,low,TESTABLE_WITH_ENRICHMENT,"Extract links from approved pages, resolve bounded redirect chains only within approved scope, and use an approved passive redirect/URL service for out-of-scope destinations.","Source page and link, every authorized hop's scheme/host/port/status and Location, passive-source provenance for external hops, and stop reason.",Finding when the evidenced terminal destination is HTTP; an unprobed out-of-scope redirect is indeterminate rather than insecure by assumption.,HTTP_CRAWLER+REDIRECT_ENRICHMENT,Approved redirect-target scope or passive redirect intelligence for out-of-scope destinations,IETF RFC / WHATWG URL,https://www.rfc-editor.org/rfc/rfc9110.html; https://url.spec.whatwg.org/,MEDIUM,MEDIUM,"A Location header to an external URL proves only the next hop, not the terminal insecure destination.",PARTIAL
references_object_storage_v2,Website References Object Storage,application_security,medium,TESTABLE_WITH_ENRICHMENT,"Resolve and inspect the page subresource/link destinations; match DNS aliases, TLS identities and HTTP signatures against a versioned cloud object-storage provider catalog.","Observed hostname/CNAME, certificate SAN/issuer, provider signature, HTTP headers and provider-catalog version.",Finding when at least two independent indicators identify the page subresource/link destinations as object storage; a hostname suffix alone is insufficient.,DNS+HTTP+TLS+FINGERPRINT,Versioned provider endpoint/signature catalog,Vendor security documentation,Cloud-provider object-storage endpoint documentation,MEDIUM,MEDIUM,Provider catalog must be reviewed and versioned.,PARTIAL
sensitive_data_exposure_through_insecure_channel,Insecure channel exposes sensitive information,application_security,medium,TESTABLE_WITH_ENRICHMENT,"Use an instrumented browser on an approved synthetic or test-authenticated flow, classify fields from the application's reviewed data schema, and insert only synthetic markers.","Page/request URL, transport scheme, flow step, policy data class, schema provenance, request method and synthetic-marker match; real values never stored.",Finding when a field established as sensitive by policy/schema or a synthetic sensitive marker is transmitted over HTTP/ws or to an insecure destination.,BROWSER+AUTH_FLOW+DATA_POLICY,Approved test flow plus versioned sensitive-data schema/classification policy,OWASP WSTG / internal data-classification policy,https://wstg.owasp.org/latest/4-Web_Application_Security_Testing/06-Session_Management_Testing/04-Testing_for_Exposed_Session_Variables/,HIGH,HIGH,"Field names and input types alone are proxy signals and cannot reliably establish that observed data is sensitive.",NOT_SUPPORTED
server_error,Server error detected,application_security,low,DIRECTLY_TESTABLE,Crawl an approved bounded URL set with safe GET/HEAD requests and record server-side HTTP failures.,"URL, method, status, retry result, response-header hash and timestamp; body omitted except approved diagnostic signature hashes.",Finding when a URL reproducibly returns 5xx (excluding policy-approved maintenance) on two bounded attempts.,HTTP_CRAWLER,None,IETF RFC,https://www.rfc-editor.org/rfc/rfc9110.html,LOW,HIGH,Current executor observes only one representative root response.,PARTIAL
site_emits_browser_log,Site emits visible browser logs,application_security,low,DIRECTLY_TESTABLE,Render an approved representative URL set in an instrumented headless browser and capture console events without submitting forms.,"URL, browser version, timestamp, console level, message hash, source URL and line; redact values matching secret patterns.",Finding when a production page emits debug/error console events matching the approved debug or sensitive-disclosure policy; require repeatability on two loads.,BROWSER,None,OWASP WSTG,https://wstg.owasp.org/latest/4-Web_Application_Security_Testing/01-Information_Gathering/05-Review_Web_Page_Content_for_Information_Leakage/,MEDIUM,MEDIUM,Page coverage must be declared; do not infer SSC collection scope.,NOT_SUPPORTED
site_requests_data_over_insecure_channel,Site requests data over insecure channel,application_security,low,DIRECTLY_TESTABLE,Render approved HTTPS pages and capture browser network requests and mixed-content decisions.,"Parent page, initiator, resource/request URL scheme, resource type, blocked/loaded state and active/passive classification.",Finding when an HTTPS page initiates any policy-covered request over HTTP or ws; report browser-blocked requests separately.,BROWSER,None,W3C Mixed Content,https://www.w3.org/TR/mixed-content/,MEDIUM,HIGH,Do not send form submissions or mutate application state.,NOT_SUPPORTED
unsafe_sri_v2,Unsafe Implementation Of Subresource Integrity,application_security,high,DIRECTLY_TESTABLE,"Parse external script/stylesheet elements, fetch only approved public resources, and validate integrity metadata using the SRI algorithm.","Page/resource URL, crossorigin mode, integrity algorithms/digests, fetch result and recomputed-digest match; resource content not retained.","Finding when policy-required cross-origin active resources lack SRI, use disallowed algorithms, have invalid metadata, or digest verification fails.",HTTP_CRAWLER,None,W3C Recommendation,https://www.w3.org/TR/SRI/,HIGH,HIGH,Bound resource size and origins; no execution required.,NOT_SUPPORTED
